mean,std,volume_of_articles
-1.0,,1
3.0,0.0,2
-5.0,,1
-1.0,1.4142135623730951,2
1.0,1.4142135623730951,2
-1.0,1.4142135623730951,2
1.5,2.1213203435596424,2
0.0,,1
0.0,0.0,3
2.0,1.7320508075688772,3
-0.6,1.6733200530681511,5
0.6666666666666666,1.0327955589886446,6
0.0,1.8586407545691703,12
0.0,0.0,3
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
1.0,,1
3.0,,1
1.0,1.4142135623730951,2
0.3333333333333333,0.816496580927726,6
0.0,,1
0.0,,1
1.0,,1
2.0,,1
0.0,0.0,2
0.0,0.0,2
2.0,,1
-1.5,2.1213203435596424,2
0.0,2.8284271247461903,2
0.3333333333333333,0.5773502691896258,3
0.4,0.8944271909999159,5
0.0,0.0,2
4.5,2.1213203435596424,2
0.0,,1
0.0,,1
0.0,2.0,3
-3.0,,1
0.0,,1
0.0,,1
0.5,0.7071067811865476,2
0.0,,1
5.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.5,1.9148542155126762,4
-0.5454545454545454,1.507556722888818,11
2.0,2.8284271247461903,2
-0.6666666666666666,2.3094010767585034,3
0.0,,1
0.0,0.0,3
-0.25,1.2909944487358056,16
0.0,0.0,2
0.75,0.9574271077563381,4
-1.25,2.0615528128088303,4
0.5,0.7071067811865476,2
-1.4,0.5477225575051662,5
0.0,0.0,3
1.0,2.8284271247461903,2
0.4,0.894427190999916,5
0.0,0.0,2
0.0,0.0,3
0.625,1.1877349391654208,8
0.6666666666666666,1.1547005383792517,3
0.0,0.0,2
1.0,,1
0.0,,1
0.0,0.0,2
-1.5,2.1213203435596424,2
-3.0,,1
2.0,,1
0.0,,1
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
-2.0,,1
0.5,1.0,4
-2.0,,1
1.5,1.9148542155126762,4
2.0,,1
0.0,,1
0.0,,1
0.3333333333333333,0.5773502691896258,3
0.0,0.0,3
0.75,0.9574271077563382,4
0.7,2.359378449224852,10
0.0,0.0,2
2.0,0.0,2
0.0,,1
-2.0,,1
0.0,0.0,2
1.0,1.4142135623730951,2
-1.0,,1
0.0,,1
1.6666666666666667,0.5773502691896257,3
0.0,,1
-1.0,1.4142135623730951,2
-1.0,1.4142135623730951,2
0.0,,1
