mean,std,volume_of_articles
0.0,0.0,2
1.0,,1
-0.3333333333333333,0.5773502691896258,3
0.0,,1
-3.0,,1
2.0,,1
2.0,,1
2.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
2.0,,1
-1.0,,1
-5.0,,1
4.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-1.0,,1
-2.0,,1
0.0,,1
0.0,,1
-1.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
1.0,,1
0.0,0.0,2
-0.5,1.0,4
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
-1.3333333333333333,1.1547005383792517,3
0.0,,1
0.0,,1
0.0,,1
0.0,,1
3.0,,1
0.0,0.0,2
-1.0,,1
0.0,0.0,2
1.0,,1
1.5,2.1213203435596424,2
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
2.0,,1
2.0,,1
-1.0,,1
2.0,,1
0.0,,1
2.5,0.7071067811865476,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
-1.0,,1
-2.0,,1
-1.6666666666666667,2.0816659994661326,3
0.0,,1
-2.0,,1
1.5,2.1213203435596424,2
0.0,,1
1.0,3.605551275463989,3
3.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,0.0,3
1.5,4.949747468305833,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-0.5,0.7071067811865476,2
0.0,,1
2.0,,1
3.0,,1
0.0,,1
0.0,,1
2.0,,1
0.0,,1
0.0,,1
0.0,,1
-3.0,0.0,2
-1.0,,1
-5.0,,1
-1.5,0.7071067811865476,2
1.5,2.1213203435596424,2
2.0,,1
-1.0,1.7320508075688772,3
-2.0,,1
1.0,1.4142135623730951,2
0.5,1.0,4
2.0,,1
2.0,,1
-4.0,,1
0.0,,1
-1.0,1.4142135623730951,2
0.3333333333333333,0.5773502691896258,3
-1.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-4.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
1.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
-1.0,1.4142135623730951,2
0.0,,1
0.0,,1
2.0,,1
0.0,0.0,2
1.0,,1
0.0,0.0,2
3.0,,1
-3.0,,1
-1.0,1.4142135623730951,2
0.0,,1
0.0,0.0,3
0.0,,1
0.0,,1
-1.0,1.4142135623730951,2
0.0,,1
-1.0,,1
0.0,,1
2.0,,1
0.0,,1
4.0,,1
0.0,,1
0.0,,1
-1.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
2.0,,1
0.0,,1
1.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
-1.0,1.7320508075688772,3
-1.0,1.4142135623730951,2
-1.0,1.4142135623730951,2
0.0,,1
0.0,,1
-2.0,,1
-2.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
-2.0,0.0,2
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
0.0,,1
2.0,,1
2.0,,1
-0.3333333333333333,0.5773502691896258,3
0.0,,1
0.0,0.0,2
0.0,,1
-1.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
-1.0,,1
-0.5,0.7071067811865476,2
0.0,,1
-2.0,,1
-2.0,,1
0.6666666666666666,1.1547005383792517,3
0.0,,1
0.0,,1
0.0,,1
2.0,,1
0.0,,1
0.0,,1
-1.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,3
0.0,,1
1.0,1.7320508075688772,3
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
2.0,,1
0.0,0.0,3
1.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
4.0,,1
0.0,,1
0.0,,1
0.0,,1
0.5,0.7071067811865476,2
0.0,,1
0.0,,1
2.0,,1
3.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
1.0,4.242640687119285,2
-1.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
-1.5,2.1213203435596424,2
0.0,0.0,2
0.6666666666666666,1.1547005383792517,3
-1.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.0,0.0,2
0.0,,1
7.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
5.0,,1
0.0,,1
0.0,,1
-1.0,,1
0.0,,1
2.0,,1
2.0,,1
2.0,,1
3.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
1.0,,1
0.0,,1
0.0,,1
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
1.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,3
0.0,0.0,3
0.0,,1
0.0,,1
2.3333333333333335,2.0816659994661326,3
0.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,0.0,2
2.0,,1
0.0,,1
0.0,,1
0.0,,1
0.3333333333333333,1.5275252316519468,3
0.3333333333333333,3.511884584284246,3
-2.0,,1
0.0,,1
-1.0,1.4142135623730951,2
0.0,,1
1.0,,1
0.0,0.0,2
1.5,2.1213203435596424,2
1.5,2.1213203435596424,2
0.0,,1
0.0,0.0,2
0.0,,1
0.0,0.0,2
3.0,,1
1.5,2.1213203435596424,2
-4.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
-1.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
2.5,3.5355339059327378,2
0.0,,1
-0.5,0.7071067811865476,2
-0.3333333333333333,0.5773502691896258,3
-2.0,,1
0.0,0.0,2
0.4,0.8944271909999159,5
0.0,,1
0.0,,1
0.0,,1
1.0,1.4142135623730951,2
-1.0,4.242640687119285,2
-1.0,,1
1.0,,1
0.0,,1
0.8,1.3038404810405297,5
1.0,1.4142135623730951,5
2.0,,1
0.0,0.0,2
0.0,0.0,2
-1.0,,1
0.0,,1
3.0,,1
0.0,0.0,3
1.0,1.4142135623730951,2
0.4,0.894427190999916,5
-2.0,,1
0.0,,1
2.0,,1
-2.0,,1
0.0,,1
0.0,0.0,3
0.0,0.0,2
-1.0,,1
0.5,1.9148542155126762,4
1.0,1.4142135623730951,2
0.0,,1
0.0,0.0,2
1.0,,1
0.0,,1
0.0,0.0,3
0.5,1.0,4
0.0,,1
-1.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
1.0,1.4142135623730951,2
-0.25,0.5,4
0.0,0.0,3
0.0,0.0,2
0.0,0.0,3
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,3
1.0,1.4142135623730951,2
0.5,1.0,4
0.0,,1
-0.5,0.7071067811865476,2
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.5,0.7071067811865476,2
-0.5,0.7071067811865476,2
2.0,,1
0.0,,1
0.6666666666666666,1.1547005383792517,3
3.0,,1
1.0,1.4142135623730951,2
1.0,1.4142135623730951,2
0.0,0.0,2
0.0,,1
0.0,0.0,4
0.25,0.7071067811865476,8
0.0,0.0,2
0.0,,1
-0.6666666666666666,1.1547005383792517,3
0.0,,1
0.0,,1
0.0,,1
3.0,,1
3.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-1.6666666666666667,0.5773502691896257,3
0.3333333333333333,2.516611478423583,3
-1.0,,1
2.0,,1
0.0,0.0,2
-0.6666666666666666,1.1547005383792517,3
0.0,,1
0.0,0.0,2
2.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
3.0,,1
0.0,0.0,2
1.0,,1
-2.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,2
1.0,1.4142135623730951,2
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
3.0,,1
-3.0,,1
-2.0,,1
-0.3333333333333333,0.5773502691896258,3
0.0,0.0,4
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
2.0,,1
0.0,,1
1.0,,1
0.0,,1
0.0,,1
0.0,0.0,7
0.0,0.0,8
-0.3333333333333333,0.816496580927726,6
0.0,,1
0.0,0.0,4
-1.0,1.4142135623730951,2
0.0,0.0,3
0.0,,1
-4.0,,1
0.0,0.0,2
0.3333333333333333,0.5773502691896258,3
0.25,0.5,4
0.8333333333333334,0.9831920802501751,6
0.0,,1
0.0,0.0,2
0.0,,1
-1.0,1.4142135623730951,2
1.0,1.4142135623730951,2
3.0,,1
-1.0,1.0,3
-1.0,0.0,2
2.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
-0.6666666666666666,1.0327955589886444,6
0.0,,1
0.25,2.0615528128088303,4
0.5,0.7071067811865476,2
0.0,,1
-1.0,1.4142135623730951,2
0.3333333333333333,1.5275252316519465,3
1.0,1.7320508075688772,3
0.0,1.2649110640673518,6
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
-2.0,,1
2.0,,1
0.0,0.0,3
0.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
-0.6,1.949358868961793,5
2.0,,1
0.0,,1
0.0,,1
0.0,,1
4.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
2.0,,1
-0.5,1.0,4
0.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
3.0,,1
3.0,,1
0.0,,1
0.0,0.0,3
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,,1
-0.5,3.5355339059327378,2
