Title,Date,title_nostop,title_stemmed,sentiment_score
"['berlingske', 'mener', 'novos', 'succes', 'tjener', 'som', 'forbillede', 'ikke', 'som', 'sovepude']",2023-08-14,"['berlingske', 'mener', 'novos', 'succes', 'tjener', 'forbillede', 'sovepude']","['berlingsk', 'men', 'novo', 'suc', 'tjen', 'forbilled', 'sovepud']",4.0
"['brevkassen', 'hvad', 'skal', 'jeg', 'betale', 'i', 'skat', 'af', 'mine', 'novo', 'nordiskaktier']",2023-08-12,"['brevkassen', 'betale', 'skat', 'novo', 'nordiskaktier']","['brevkas', 'betal', 'skat', 'novo', 'nordiskakti']",-1.0
"['lars', 'fruergaard', 'affejer', 'kritik', 'af', 'mangel', 'på', 'diabetesmiddel', 'det', 'hænger', 'ikke', 'sammen']",2023-08-10,"['lars', 'fruergaard', 'affejer', 'kritik', 'mangel', 'diabetesmiddel', 'hænger', 'sammen']","['lar', 'fruergaard', 'affej', 'kritik', 'mangel', 'diabetesmiddel', 'hæng', 'sam']",-4.0
"['novo', 'nordisk', 'kæmper', 'med', 'at', 'følge', 'den', 'store', 'efterspørgsel']",2023-08-10,"['novo', 'nordisk', 'kæmper', 'følge', 'store', 'efterspørgsel']","['novo', 'nordisk', 'kæmp', 'følg', 'stor', 'efterspørgsel']",-3.0
"['salg', 'af', 'novoslankemiddel', 'boomer', 'mere', 'end', 'seksdoblet']",2023-08-10,"['salg', 'novoslankemiddel', 'boomer', 'mere', 'seksdoblet']","['salg', 'novoslankemiddel', 'boom', 'mer', 'seksdobl']",0.0
"['novo', 'nordisk', 'leverer', 'atter', 'milliardoverskud', 'og', 'øger', 'forventninger', 'trods', 'leveringsproblemer']",2023-08-10,"['novo', 'nordisk', 'leverer', 'atter', 'milliardoverskud', 'øger', 'forventninger', 'trods', 'leveringsproblemer']","['novo', 'nordisk', 'lev', 'att', 'milliardoverskud', 'øger', 'forventning', 'trod', 'leveringsproblem']",1.0
"['mens', 'chr', 'hansen', 'har', 'pillet', 'regnbueflagene', 'ned', 'holder', 'fire', 'giganter', 'fast', 'i', 'synlig', 'støtte', 'til', 'minoriteter', 'uanset', 'hvor', 'i', 'verden', 'de', 'er', 'ansat']",2023-08-09,"['mens', 'chr', 'hansen', 'pillet', 'regnbueflagene', 'holder', 'fire', 'giganter', 'fast', 'synlig', 'støtte', 'minoriteter', 'uanset', 'verden', 'ansat']","['men', 'chr', 'hans', 'pil', 'regnbueflag', 'hold', 'fir', 'gigant', 'fast', 'syn', 'støt', 'minoritet', 'uans', 'verd', 'ansat']",2.0
"['diabetesmedicin', 'presser', 'regionernes', 'budgetter']",2023-08-09,"['diabetesmedicin', 'presser', 'regionernes', 'budgetter']","['diabetesmedicin', 'pres', 'region', 'budget']",0.0
"['konkurrent', 'får', 'massiv', 'medvind', 'af', 'novo', 'nordiskstudie', 'springer', 'endnu', 'flere', 'pladser', 'opad']",2023-08-09,"['konkurrent', 'får', 'massiv', 'medvind', 'novo', 'nordiskstudie', 'springer', 'endnu', 'flere', 'pladser', 'opad']","['konkurrent', 'får', 'massiv', 'medvind', 'novo', 'nordiskstudi', 'spring', 'endnu', 'fler', 'plads', 'opad']",0.0
"['regioner', 'forventer', 'milliardregning', 'for', 'novomedicin']",2023-08-09,"['regioner', 'forventer', 'milliardregning', 'novomedicin']","['region', 'forvent', 'milliardregning', 'novomedicin']",0.0
"['slankemedicinen', 'wegovy', 'kan', 'også', 'forebygge', 'hjerteanfald', 'og', 'slagtilfælde', 'novo', 'nordisks', 'aktiekurs', 'går', 'amok']",2023-08-08,"['slankemedicinen', 'wegovy', 'kan', 'forebygge', 'hjerteanfald', 'slagtilfælde', 'novo', 'nordisks', 'aktiekurs', 'går', 'amok']","['slankemedicin', 'wegovy', 'kan', 'forebyg', 'hjerteanfald', 'slagtilfæld', 'novo', 'nordisk', 'aktiekur', 'går', 'amok']",-4.0
"['novo', 'nordisk', 'i', 'stort', 'spring', 'opad', 'så', 'store', 'er', 'de', 'på', 'verdensplan']",2023-08-08,"['novo', 'nordisk', 'stort', 'spring', 'opad', 'så', 'store', 'verdensplan']","['novo', 'nordisk', 'stort', 'spring', 'opad', 'så', 'stor', 'verdensplan']",0.0
"['novo', 'nordiskaktie', 'slår', 'rekord', 'nyt', 'studie', 'overgår', 'forventninger']",2023-08-08,"['novo', 'nordiskaktie', 'slår', 'rekord', 'nyt', 'studie', 'overgår', 'forventninger']","['novo', 'nordiskakti', 'slår', 'rekord', 'nyt', 'studi', 'overgår', 'forventning']",0.0
"['novo', 'sagsøgt', 'kvinde', 'fik', 'mavelammelse', 'efter', 'brug', 'af', 'diabetesmiddel']",2023-08-03,"['novo', 'sagsøgt', 'kvinde', 'fik', 'mavelammelse', 'brug', 'diabetesmiddel']","['novo', 'sagsøg', 'kvind', 'fik', 'mavelam', 'brug', 'diabetesmiddel']",0.0
"['først', 'chr', 'hansen', 'og', 'nu', 'lars', 'løkke', 'når', 'nogle', 'bliver', 'provokeret', 'så', 'skal', 'vi', 'bakke']",2023-08-01,"['først', 'chr', 'hansen', 'lars', 'løkke', 'provokeret', 'så', 'bakke']","['først', 'chr', 'hans', 'lar', 'løk', 'provok', 'så', 'bak']",-2.0
"['medie', 'har', 'opsigtsvækkende', 'nyt', 'om', 'årsagen', 'til', 'at', 'populært', 'slankemiddel', 'blev', 'forsinket']",2023-07-27,"['medie', 'opsigtsvækkende', 'nyt', 'årsagen', 'populært', 'slankemiddel', 'forsinket']","['medi', 'opsigtsvæk', 'nyt', 'årsag', 'populært', 'slankemiddel', 'forsink']",2.0
"['businessoverblik', 'nyt', 'flop', 'dansk', 'selskab', 'står', 'til', 'store', 'aktietæsk']",2023-07-24,"['businessoverblik', 'nyt', 'flop', 'dansk', 'selskab', 'står', 'store', 'aktietæsk']","['businessoverblik', 'nyt', 'flop', 'dansk', 'selskab', 'står', 'stor', 'aktietæsk']",-2.0
"['novo', 'kan', 'ikke', 'følge', 'med', 'amerikanernes', 'jagt', 'på', 'fedmemidler']",2023-07-20,"['novo', 'kan', 'følge', 'amerikanernes', 'jagt', 'fedmemidler']","['novo', 'kan', 'følg', 'amerikan', 'jagt', 'fedmemidl']",0.0
"['lone', 'theils', 'kunne', 'ikke', 'få', 'sin', 'vigtige', 'medicin', 'og', 'blev', 'mere', 'og', 'mere', 'desperat', 'hun', 'er', 'langtfra', 'den', 'eneste']",2023-07-19,"['lone', 'theils', 'få', 'vigtige', 'medicin', 'mere', 'mere', 'desperat', 'langtfra', 'eneste']","['lon', 'theil', 'få', 'vigt', 'medicin', 'mer', 'mer', 'desperat', 'langtfra', 'enest']",-3.0
"['endelige', 'resultater', 'bekræfter', 'godt', 'alzheimersnyt', 'fra', 'novorival']",2023-07-17,"['endelige', 'resultater', 'bekræfter', 'godt', 'alzheimersnyt', 'novorival']","['end', 'resultat', 'bekræft', 'godt', 'alzheimersnyt', 'novorival']",3.0
"['novo', 'melder', 'om', 'restordre', 'på', 'ozempic', 'flere', 'steder', 'i', 'verden']",2023-07-13,"['novo', 'melder', 'restordre', 'ozempic', 'flere', 'steder', 'verden']","['novo', 'meld', 'restordr', 'ozempic', 'fler', 'sted', 'verd']",0.0
"['novo', 'nordisk', 'vil', 'begynde', 'at', 'sælge', 'wegovy', 'i', 'tyskland']",2023-07-10,"['novo', 'nordisk', 'begynde', 'sælge', 'wegovy', 'tyskland']","['novo', 'nordisk', 'begynd', 'sælg', 'wegovy', 'tyskland']",0.0
"['novo', 'sagsøger', 'apoteker', 'i', 'usa', 'for', 'salg', 'af', 'eget', 'vægttabsmiddel']",2023-07-07,"['novo', 'sagsøger', 'apoteker', 'usa', 'salg', 'eget', 'vægttabsmiddel']","['novo', 'sagsøg', 'apotek', 'usa', 'salg', 'eget', 'vægttabsmiddel']",-2.0
"['der', 'var', 'spået', 'et', 'forfærdeligt', 'aktieår', 'men', 'sådan', 'er', 'det', 'slet', 'ikke', 'gået']",2023-07-06,"['spået', 'forfærdeligt', 'aktieår', 'slet', 'gået']","['spået', 'forfærd', 'aktieår', 'slet', 'gået']",0.0
"['novo', 'nordiskchef', 'går', 'i', 'rette', 'med', 'chr', 'hansen', 'ekstremt', 'skadeligt', 'og', 'kynisk']",2023-07-04,"['novo', 'nordiskchef', 'går', 'rette', 'chr', 'hansen', 'ekstremt', 'skadeligt', 'kynisk']","['novo', 'nordiskchef', 'går', 'ret', 'chr', 'hans', 'ekstremt', 'skad', 'kynisk']",-4.0
"['i', 'delstaten', 'florida', 'udspiller', 'der', 'sig', 'lige', 'nu', 'en', 'kamp', 'om', 'kultur', 'det', 'bekymrer', 'dansk', 'pensionskæmpe']",2023-06-30,"['delstaten', 'florida', 'udspiller', 'lige', 'kamp', 'kultur', 'bekymrer', 'dansk', 'pensionskæmpe']","['delstat', 'florida', 'udspil', 'lig', 'kamp', 'kultur', 'bekymr', 'dansk', 'pensionskæmp']",-3.0
"['dagens', 'overblik', 'voldsom', 'medicinmangel', 'til', 'bestemt', 'gruppe', 'det', 'er', 'helt', 'tosset', 'lige', 'nu']",2023-06-28,"['dagens', 'overblik', 'voldsom', 'medicinmangel', 'bestemt', 'gruppe', 'helt', 'tosset', 'lige']","['dag', 'overblik', 'voldsom', 'medicinmangel', 'bestemt', 'grup', 'helt', 'tos', 'lig']",0.0
"['ny', 'bekymring', 'om', 'populære', 'novo', 'nordisklægemidler', 'undersøger', 'om', 'de', 'kan', 'give', 'selvmordstanker']",2023-06-23,"['ny', 'bekymring', 'populære', 'novo', 'nordisklægemidler', 'undersøger', 'kan', 'give', 'selvmordstanker']","['ny', 'bekymring', 'populær', 'novo', 'nordisklægemidl', 'undersøg', 'kan', 'giv', 'selvmordstank']",-1.0
"['slankemiddel', 'og', 'diabetesmedicin', 'undersøges', 'for', 'at', 'øge', 'kræftrisiko']",2023-06-21,"['slankemiddel', 'diabetesmedicin', 'undersøges', 'øge', 'kræftrisiko']","['slankemiddel', 'diabetesmedicin', 'undersøg', 'øge', 'kræftrisiko']",1.0
"['styrelse', 'står', 'alene', 'med', 'bekymring', 'om', 'slankemiddel']",2023-06-21,"['styrelse', 'står', 'alene', 'bekymring', 'slankemiddel']","['styr', 'står', 'alen', 'bekymring', 'slankemiddel']",-3.0
"['bekymrende', 'så', 'vigtig', 'er', 'novo', 'nordisk', 'for', 'danmarks', 'økonomi']",2023-06-18,"['bekymrende', 'så', 'vigtig', 'novo', 'nordisk', 'danmarks', 'økonomi']","['bekymr', 'så', 'vigt', 'novo', 'nordisk', 'danmark', 'økonomi']",-2.0
"['efter', 'en', 'ultrakort', 'telefonsamtale', 'fik', 'berlingske', 'ordineret', 'dyr', 'slankemedicin', 'myndigheder', 'slår', 'til', 'med', 'øget', 'kontrol']",2023-06-12,"['ultrakort', 'telefonsamtale', 'fik', 'berlingske', 'ordineret', 'dyr', 'slankemedicin', 'myndigheder', 'slår', 'øget', 'kontrol']","['ultrakort', 'telefonsamtal', 'fik', 'berlingsk', 'ordin', 'dyr', 'slankemedicin', 'mynd', 'slår', 'øget', 'kontrol']",2.0
"['novo', 'nordisk', 'vil', 'investere', '159', 'milliarder', 'kroner', 'i', 'dansk', 'fabrik']",2023-06-12,"['novo', 'nordisk', 'investere', '159', 'milliarder', 'kroner', 'dansk', 'fabrik']","['novo', 'nordisk', 'invest', '159', 'milliard', 'kron', 'dansk', 'fabrik']",0.0
"['storbritannien', 'vil', 'give', 'flere', 'adgang', 'til', 'novoslankemiddel']",2023-06-07,"['storbritannien', 'give', 'flere', 'adgang', 'novoslankemiddel']","['storbritanni', 'giv', 'fler', 'adgang', 'novoslankemiddel']",0.0
"['businessoverblik', 'novos', 'succes', 'har', 'skabt', 'globalt', 'medicinkapløb']",2023-06-07,"['businessoverblik', 'novos', 'succes', 'skabt', 'globalt', 'medicinkapløb']","['businessoverblik', 'novo', 'suc', 'skabt', 'globalt', 'medicinkapløb']",2.0
"['myndighed', 'ser', 'for', 'stort', 'brug', 'af', 'novo', 'nordisks', 'diabetesmedicin']",2023-06-06,"['myndighed', 'ser', 'stort', 'brug', 'novo', 'nordisks', 'diabetesmedicin']","['mynd', 'ser', 'stort', 'brug', 'novo', 'nordisk', 'diabetesmedicin']",1.0
"['jeg', 'tabte', 'otte', 'kilo', 'men', 'fik', 'ozempicface', 'ozempicoverarme', 'og', 'ozempicbarm']",2023-06-05,"['tabte', 'otte', 'kilo', 'fik', 'ozempicface', 'ozempicoverarme', 'ozempicbarm']","['tabt', 'ott', 'kilo', 'fik', 'ozempicfac', 'ozempicoverarm', 'ozempicbarm']",2.0
"['amerikansk', 'styrelse', 'advarer', 'mod', 'kopiversioner', 'af', 'slankemidler']",2023-06-01,"['amerikansk', 'styrelse', 'advarer', 'kopiversioner', 'slankemidler']","['amerikansk', 'styr', 'advar', 'kopiversion', 'slankemidl']",-2.0
"['businessupdate', 'storbank', 'med', 'hård', 'dom', 'vil', 'barbere', 'stort', 'milliardbeløb', 'af', 'novo', 'nordisks', 'værdi']",2023-05-31,"['businessupdate', 'storbank', 'hård', 'dom', 'barbere', 'stort', 'milliardbeløb', 'novo', 'nordisks', 'værdi']","['businessupdat', 'storbank', 'hård', 'dom', 'barb', 'stort', 'milliardbeløb', 'novo', 'nordisk', 'værdi']",-1.0
"['medicinalindustrien', 'holder', 'hjulene', 'i', 'gang', 'i', 'dansk', 'økonomi']",2023-05-31,"['medicinalindustrien', 'holder', 'hjulene', 'gang', 'dansk', 'økonomi']","['medicinalindustri', 'hold', 'hjul', 'gang', 'dansk', 'økonomi']",0.0
"['novo', 'nordisk', 'kom', 'med', 'atypisk', 'ønske', 'ville', 'have', 'myndighedernes', 'hjælp']",2023-05-29,"['novo', 'nordisk', 'kom', 'atypisk', 'ønske', 'myndighedernes', 'hjælp']","['novo', 'nordisk', 'kom', 'atypisk', 'ønsk', 'myndighed', 'hjælp']",4.0
"['privatøkonomisk', 'brevkasse', 'betal', 'mindre', 'skat', 'på', 'dine', 'aktier', 'med', 'dette', 'råd']",2023-05-28,"['privatøkonomisk', 'brevkasse', 'betal', 'mindre', 'skat', 'dine', 'aktier', 'råd']","['privatøkonomisk', 'brevkas', 'betal', 'mindr', 'skat', 'din', 'akti', 'råd']",0.0
"['lægeformand', 'havde', 'ret', 'novo', 'nordisk', 'vil', 'ændre', 'problematisk', 'ordlyd', 'i', 'kontrakt']",2023-05-26,"['lægeformand', 'ret', 'novo', 'nordisk', 'ændre', 'problematisk', 'ordlyd', 'kontrakt']","['lægeformand', 'ret', 'novo', 'nordisk', 'ændr', 'problematisk', 'ordlyd', 'kontrak']",-2.0
"['recepter', 'på', 'populært', 'slankemiddel', 'stiger', 'igen', 'i', 'april']",2023-05-26,"['recepter', 'populært', 'slankemiddel', 'stiger', 'igen', 'april']","['recept', 'populært', 'slankemiddel', 'stig', 'igen', 'april']",3.0
"['businessoverblik', 'novos', 'vidundermolekyle', 'gør', 'guldminen', 'dybere', 'og', 'dybere']",2023-05-26,"['businessoverblik', 'novos', 'vidundermolekyle', 'gør', 'guldminen', 'dybere', 'dybere']","['businessoverblik', 'novo', 'vidundermolekyl', 'gør', 'guldmin', 'dyb', 'dyb']",0.0
