Title,Date,title_nostop,title_stemmed,sentiment_score
"['regnskabsstorm', 'i', 'c25', 'udløste', 'store', 'kursudsving', 'her', 'er', 'fire', 'aktier', 'i', 'fokus']",2023-08-15,"['regnskabsstorm', 'c25', 'udløste', 'store', 'kursudsving', 'fire', 'aktier', 'fokus']","['regnskabsstorm', 'c25', 'udløst', 'stor', 'kursudsving', 'fir', 'akti', 'fokus']",0.0
"['aktiestatus', 'hård', 'medfart', 'til', 'fls', 'og', 'jyske', 'bank', 'trods', 'pæne', 'regnskaber']",2023-08-15,"['aktiestatus', 'hård', 'medfart', 'fls', 'jyske', 'bank', 'trods', 'pæne', 'regnskaber']","['aktiestatus', 'hård', 'medfart', 'fls', 'jysk', 'bank', 'trod', 'pæn', 'regnskab']",2.0
"['lille', 'fremgang', 'i', 'dansk', 'økonomi', 'novo', 'trækker', 'læsset']",2023-08-15,"['lille', 'fremgang', 'dansk', 'økonomi', 'novo', 'trækker', 'læsset']","['lil', 'fremgang', 'dansk', 'økonomi', 'novo', 'træk', 'læs']",0.0
"['hårdtprøvet', 'aktie', 'er', 'gået', 'fra', 'overset', 'til', 'optur', 'er', 'steget', '40', 'pct', 'på', 'én', 'måned', 'her', 'er', 'tre', 'aktier', 'i', 'fokus']",2023-08-14,"['hårdtprøvet', 'aktie', 'gået', 'overset', 'optur', 'steget', '40', 'pct', 'én', 'måned', 'tre', 'aktier', 'fokus']","['hårdtprøv', 'akti', 'gået', 'overs', 'optur', 'steg', '40', 'pct', 'én', 'måned', 'tre', 'akti', 'fokus']",-2.0
"['økonom', 'bekymret', 'for', 'produktiviteten', 'er', 'vi', 'blevet', 'lullet', 'i', 'søvn', 'af', 'novos', 'succes']",2023-08-14,"['økonom', 'bekymret', 'produktiviteten', 'blevet', 'lullet', 'søvn', 'novos', 'succes']","['økonom', 'bekymr', 'produktivitet', 'blev', 'lul', 'søvn', 'novo', 'suc']",2.0
"['eli', 'lilly', 'gennemfører', 'milliardopkøb', 'af', 'fedmefokuseret', 'biotekselskab']",2023-08-14,"['eli', 'lilly', 'gennemfører', 'milliardopkøb', 'fedmefokuseret', 'biotekselskab']","['eli', 'lilly', 'gennemfør', 'milliardopkøb', 'fedmefokus', 'biotekselskab']",0.0
"['debat', 'lars', 'sandahl', 'jeg', 'frygter', 'at', 'konkurrencekrisen', 'i', 'europa', 'får', 'virksomhederne', 'til', 'at', 'flygte']",2023-08-14,"['debat', 'lars', 'sandahl', 'frygter', 'konkurrencekrisen', 'europa', 'får', 'virksomhederne', 'flygte']","['debat', 'lar', 'sandahl', 'frygt', 'konkurrencekris', 'europa', 'får', 'virksomhed', 'flygt']",-2.0
"['bocian', 'novo', 'skal', 'fejres', 'men', 'den', 'økonomiske', 'fleksibilitet', 'skal', 'styrkes']",2023-08-13,"['bocian', 'novo', 'fejres', 'økonomiske', 'fleksibilitet', 'styrkes']","['bocian', 'novo', 'fejr', 'økonomisk', 'fleksibilit', 'styrk']",3.0
"['ugen', 'der', 'gik', 'våbenbøvl', 'millionunderskud', 'og', 'novoaktie', 'i', 'hopla']",2023-08-12,"['ugen', 'gik', 'våbenbøvl', 'millionunderskud', 'novoaktie', 'hopla']","['ugen', 'gik', 'våbenbøvl', 'millionunderskud', 'novoakti', 'hopla']",0.0
"['chefstrateg', 'solgte', 'medicinalaktie', 'alt', 'for', 'hurtigt', 'man', 'realiserer', 'et', 'tab', 'hvis', 'man', 'går', 'i', 'panik']",2023-08-11,"['chefstrateg', 'solgte', 'medicinalaktie', 'hurtigt', 'realiserer', 'tab', 'går', 'panik']","['chefstrateg', 'solg', 'medicinalakti', 'hurt', 'realis', 'tab', 'går', 'panik']",-4.0
"['c25', 'i', 'stort', 'fald', 'her', 'er', 'aktierne', 'der', 'rykkede', 'i', 'handlen']",2023-08-11,"['c25', 'stort', 'fald', 'aktierne', 'rykkede', 'handlen']","['c25', 'stort', 'fald', 'akti', 'rykked', 'handl']",0.0
"['novoinsidere', 'sælger', 'aktier', 'for', '29', 'mio', 'kr']",2023-08-11,"['novoinsidere', 'sælger', 'aktier', '29', 'mio', 'kr']","['novoinsid', 'sælg', 'akti', '29', 'mio', 'kr']",0.0
"['investorer', 'høster', 'aktieprofitter', 'her', 'er', 'aktierne', 'der', 'rykker', 'i', 'handlen']",2023-08-11,"['investorer', 'høster', 'aktieprofitter', 'aktierne', 'rykker', 'handlen']","['investor', 'høst', 'aktieprofit', 'akti', 'ryk', 'handl']",0.0
"['novos', 'udviklingschef', 'efter', 'vild', 'uge', 'flere', 'succeshistorier', 'i', 'vente']",2023-08-10,"['novos', 'udviklingschef', 'vild', 'uge', 'flere', 'succeshistorier', 'vente']","['novo', 'udviklingschef', 'vild', 'uge', 'fler', 'succeshistori', 'vent']",2.0
